	GL100_DN	GL100_UP	GL102_DN	GL103_DN	GL103_UP	GL104_DN	GL104_UP	GL106_DN	GL106_UP	GL109_DN	GL109_UP	GL11_Down	GL11_UP	GL111_DN	GL114_DN	GL114_UP	GL115_DN	GL115_UP	GL116_DN	GL116_UP	GL117_DN	GL117_UP	GL119_DN	GL119_UP	GL12_Down	GL12_DownB	GL12_Up	GL121_DN	GL121_UP	GL122_DN	GL122_UP	GL124_UP	GL126_DN	GL127_UP	GL13_Down	GL13_DownB	GL13_Up	GL13_UpB	GL130_DN	GL130_UP	GL132_DN	GL132_UP	GL133_DN	GL133_UP	GL135_DN	GL135_UP	GL137_UP	GL139_DN	GL139_UP	GL14_Down	GL14_Up	GL140_1	GL140_2	GL140_3	GL140_4	GL140_5	GL140_6	GL15_Down	GL15_Up	GL16_Down	GL16_UP	GL17_Down	GL17_Up	GL22_DN	GL22_UP	GL24_DN	GL24_UP	GL26_DN	GL26_UP	GL27_DN	GL27_UP	GL28_DN	GL28_UP	GL29_DN	GL29_UP	GL30_DN	GL30_UP	GL32_Down	GL32_UP	GL34_DN	GL34_UP	GL35_DN	GL36_DN	GL36_UP	GL42_DN	GL43_DN	GL44_Down	GL44_UP	GL45_Down	GL45_UP	GL46_Down	GL46_Up	GL47_Down	GL47_Up	GL48_Down	GL48_UP	GL49_Down	GL49_UP	GL5_Up	GL50_Down	GL50_UP	GL51_DN	GL51_Up	GL52_DN	GL53_Down	GL54_DN	GL54_UP	GL56_Up	GL58_Down	GL58_Up	GL6_Down	GL61_DN	GL65_DN	GL65_UP	GL68_DN	GL7_UP	GL72_DN	GL73_DN	GL73_UP	GL74_DN	GL74_UP	GL75_DN	GL75_UP	GL77_DN	GL77_UP	GL79_UP	GL80_DN	GL80_UP	GL81_UP	GL82_DN	GL82_UP	GL85_DN	GL85_UP	GL86_DN	GL86_UP	GL88_DN	GL88_UP	GL90_DN	GL90_UP	GL91_DN	GL91_UP	GL92_DN	GL92_UP	GL93_DN	GL93_UP	GL94_DN	GL94_UP	GL95_DN	GL95_UP	GL96_UP	GL97_DN	GL97_UP	GL98_DN	GL98_UP	GL99_DN	GL99_UP
3HPcoA dehydr	645	1276	609	1011	716	560	765	41	22	785	797	1430	988	292	449	434	880	2875	107	122	115	348	826	451	213	258	214	167	200	59	23	65	283	185	1941	2143	761	1137	163	128	42	38	170	29	19	27	14	125	126	556	377	527	1909	3085	1710	1859	1482	1791	3060	582	594	716	428	705	116	419	99	107	235	194	426	240	243	445	472	258	153	289	389	1313	322	632	173	189	174	77	403	25	646	286	108	102	195	115	396	247	125	86	287	228	311	209	216	745	175	640	542	280	1207	515	426	2985	180	106	1482	1124	388	2044	728	1223	566	101	108	402	276	29	924	1849	351	1120	276	365	65	1178	551	2920	559	1128	784	555	185	744	1030	610	235	3664	155	1066	1151	297	1008	438	399	959	1472	1048
CYP55	1244	391	438	713	460	243	472	293	818	69	271	451	446	270	70	29	220	776	234	577	320	267	145	79	314	349	413	158	365	133	286	261	144	159	386	446	437	631	216	154	182	96	301	97	273	217	143	199	669	374	313	1860	1877	1629	668	631	671	469	360	191	300	117	72	157	183	523	172	224	478	475	904	1106	1058	821	768	1999	1442	393	1384	1727	256	333	290	634	573	420	239	633	454	547	446	497	413	326	611	452	1030	842	207	788	824	624	852	1008	800	935	445	540	1197	770	42	172	2128	2737	862	81	2094	207	448	503	1751	669	1204	459	1020	145	1088	1249	353	2613	1894	2762	1359	447	197	85	499	1028	1400	738	915	1243	1111	1660	1579	1522	2044	543	659	58	912	177	1078	1235	1245	1517
NIT-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	11	7	0	0	0	0	22	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	6	7	0	0	11	0	3	0	8	0	340	0	0	0	0	0	5	21	0	0	0	16	0	0	5	5	29	32	0	5	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	53	103	0	14	646	0	0	8	0	0	0	5	0	0	0	0	24	0	0	0	0	0	0	0	0	5	0	0	0	14	0	0	15	0	0
NR	28	5	9	0	3	0	7	586	3	1	0	0	0	1	11	5	0	0	1	632	98	298	36	1	0	2	0	0	0	568	89	120	0	5	0	0	25	56	22	250	295	54	48	31	173	140	727	36	3	0	0	0	0	0	0	0	0	4	142	0	0	0	0	0	40	2	0	0	0	6	14	2	0	26	25	7	12	5	10	7	965	5	4	6	0	11	10	530	2	0	81	292	12	0	51	18	48	119	0	2	1	7	16	0	0	0	27	0	1	12	0	0	0	0	23	0	0	0	0	4	4	91	235	0	38	1622	5	12	25	0	0	1	9	0	0	1	22	11	123	51	21	28	26	69	7	15	12	0	11	0	8	0	290	12	0	0
PRK, prkB	112681	94218	73305	55534	113984	69891	97103	44061	46317	118602	80354	127779	146288	87983	136836	112186	61049	42824	45570	39517	44565	75087	66080	100658	75374	96294	85749	61311	45509	115439	114669	124217	63101	30637	133600	157854	96744	134113	49784	81555	101296	125692	71415	113714	102608	95665	128894	29095	45143	83183	57927	166048	111126	105973	43234	43137	43041	89761	72830	64180	65806	122433	139387	88950	99592	61593	109981	60735	81272	61578	107982	78269	74886	113140	106176	138994	122966	42462	77891	87566	389456	100466	81856	64015	123836	188426	69309	85720	118938	83134	84541	89227	90856	105811	118691	102796	87483	71519	39972	103658	140740	120115	61252	123289	74035	191859	118510	130868	152703	193060	49756	91055	111448	92623	191044	125767	59218	80329	47916	106055	87399	111451	150602	81701	85266	102969	85552	101544	88125	220683	224400	96755	96681	182934	83428	166108	73780	93120	124976	151404	199169	96607	87693	131085	158575	172841	160837	184321	205929	138726	124253	90220	154063	98232	94800	85536
SUOX	12968	28406	12484	17788	18136	21088	27611	8352	17614	14373	13331	10840	9774	11458	21591	22605	20565	12322	14098	7439	10952	30116	26026	15746	9231	12381	10378	16528	7046	15440	11748	9493	31087	13952	20119	22474	10609	14694	10242	14160	11426	20555	17834	20383	9940	8982	17518	15121	5655	8313	6393	20187	28229	27078	24205	23964	24203	14961	14120	14441	15518	12982	15389	10660	8221	17861	19495	30711	24313	11726	17445	17890	11714	16793	18803	18083	15947	9709	5020	13458	6911	7632	17601	13219	11054	8481	31644	4080	25421	19590	10218	8839	19577	17544	19281	17971	8658	9129	16955	8646	13968	16069	8668	7760	21902	5022	3008	17424	22800	44112	14226	1942	5706	8375	12401	22789	13575	13277	6606	15428	8260	8829	11473	21095	6013	3106	15777	16272	18012	15386	10360	10893	3369	8876	11519	8628	12605	11822	14224	10506	5759	12848	15447	16137	10557	12667	19180	9822	12682	8919	16869	32022	9968	9848	18320	22828
UreD	68839	75029	56124	54095	66390	58139	81131	44659	36068	53779	42273	66348	68671	51249	61401	54487	62795	50250	47757	32060	34301	53019	52657	70056	44474	57495	53224	35146	36957	90793	77558	114705	35000	30504	76237	88929	46633	64524	34922	46286	55022	75861	44950	70139	57239	52949	70566	29460	29654	48759	36329	104513	79967	67724	30169	30155	31033	52373	46828	43685	52214	63065	67596	49941	47097	50908	58127	45430	60928	43687	62356	56365	46224	72534	65392	69534	71133	33628	55958	64295	59263	75531	63169	59444	82766	76142	50342	56676	68966	51998	69895	86788	63818	69785	80165	63258	63743	49123	31417	71161	74725	74544	42720	82012	59320	95951	81698	86034	83728	99857	31185	57385	82879	72503	92644	77647	102189	57869	38290	75733	73924	88751	79121	63408	58088	111122	67201	64667	64226	95264	98160	89433	62073	76475	41431	86885	55710	79396	74691	83718	91602	68112	68537	89560	67117	96873	66840	72493	94503	55445	70589	58476	83341	90533	76296	70812
abfD	31885	30062	39698	19531	15562	23119	45317	15976	15493	33927	19870	25728	34679	33390	33584	23047	7554	21434	31745	26951	11663	21398	14634	10247	17268	22103	20810	17181	27169	36230	32946	40799	17943	9577	28130	32983	24848	31700	12463	23667	32187	35582	29056	32677	37036	36124	31415	13664	26179	8657	7144	42556	38338	36466	27198	26171	26813	18941	21132	12209	15888	25744	31407	19314	32432	20184	27850	17044	28536	19523	51225	25005	22615	36763	35962	51615	48047	22454	43221	39918	36212	51459	32427	30644	62410	46176	22579	46721	30169	23364	42060	32569	40218	52981	54739	40970	44759	36250	5148	54406	62533	51259	23575	47545	33417	77444	65478	50720	55652	70667	21523	12280	28483	30084	80093	34266	35068	12431	8617	39707	34588	38134	38815	25888	34433	44009	35497	41531	38831	76164	62968	86607	62392	76316	23295	47334	37521	43329	38425	69955	58947	27594	33020	55219	55699	88754	45907	68206	79727	20415	49501	26574	69063	63813	39378	33572
accC	198100	204757	225611	198843	203697	209324	260509	220150	230261	169330	128324	191335	191188	185352	197688	152152	172128	199133	210604	198276	148258	208890	171061	169728	131605	167343	162451	149707	150261	305714	279757	324228	152242	112554	181298	212905	147583	206101	110121	184170	211873	310166	201061	300562	221689	219406	284962	120240	180706	140710	100152	261087	251449	216345	197236	198686	199812	155332	160170	186653	166123	225112	220334	126966	164895	157155	170780	179287	231311	150153	274666	229952	174538	259291	234428	260770	271647	161580	233017	217933	311412	211898	207477	180825	278669	235804	187312	247996	224849	201003	272343	302757	254954	278391	277912	261534	304326	255459	104856	276181	274654	278617	172971	235475	208896	274156	226829	252552	236750	303426	100389	97962	257182	240365	318388	185488	261466	190752	112040	250436	231035	243062	270585	164839	210950	336162	225565	257993	232093	319208	321271	253798	172839	254871	149245	195083	225790	239848	235310	281401	272421	188283	200497	267726	274073	315247	292265	250089	351637	154785	223130	185374	295795	260672	245158	241799
aclA	6532	29716	8377	12151	11869	14016	19537	3726	6681	9025	8883	7762	6949	4386	10750	11717	17356	6081	9280	3437	7514	15617	22873	14244	8387	10382	9786	13706	5244	403	514	430	26121	11722	14532	16690	7750	10650	6125	4382	1570	258	6901	821	697	167	249	11303	509	3927	3243	5507	12386	11636	12762	12458	12460	7250	7411	6392	6930	8692	11833	7566	5262	13558	9679	24562	14440	5237	9270	11244	8368	10921	11133	7021	3034	3674	289	1853	144	1563	11583	6735	7190	4515	26611	2737	21170	13479	5663	3961	9845	8228	13630	13588	5437	4008	12730	6669	11875	11279	4600	5010	16222	6956	4646	13217	16112	23778	11598	324	296	402	4615	16197	1835	12239	6841	7451	2392	2001	703	17363	3193	424	10427	10321	11309	6671	3226	3653	2717	5440	11661	6030	9044	10444	7723	5873	2881	5984	8498	9622	2218	3487	3592	6821	5406	7659	10709	17457	3734	10698	12011	13921
aclB	5724	22334	6605	10788	10293	12355	18009	3020	5940	6466	6483	6858	6226	3875	8141	9124	15966	4966	7970	2567	5478	12199	18916	10967	8325	10496	9862	11111	4069	370	436	367	21130	8893	12899	15118	6824	9351	4536	3618	1681	244	5602	666	736	149	188	8798	383	3547	2970	5302	11335	11434	12640	12454	12486	6602	6523	5968	6317	7314	9614	5749	3991	9821	8254	20343	11697	3550	8462	8950	6790	9395	9824	5592	2373	3998	219	1520	108	1463	6453	5620	6326	4512	21931	3190	16682	12299	5016	3190	8211	7035	10513	10862	5476	3386	10194	5792	10120	9104	3564	5542	12082	7681	4873	11263	15741	23279	8947	292	261	373	5080	14409	1641	11921	6394	7529	2542	1948	686	13118	2455	1034	8336	9583	8778	6976	4278	3123	48	4723	8835	5351	7787	9423	8316	5365	2692	5361	7379	9742	2202	3800	3402	5883	6314	6841	9228	13584	3560	9217	9610	11768
acrylyl-red/3HPcoA dehydr/3HPCoA synt	12330	4783	1258	848	732	1178	4253	454	943	141	362	2077	2162	5538	221	148	1023	3747	465	4612	335	873	831	1167	2010	2753	2821	1457	1114	16697	11125	45372	152	215	1606	2008	2351	3336	3338	28268	33650	18885	6478	12042	18579	19129	51404	385	4388	1788	1518	37359	21987	18183	23955	21561	22279	1102	1417	872	1193	787	802	1509	3286	2116	2805	2315	2554	1085	9211	1901	3744	10244	9430	9035	12405	7721	4710	5522	2881	14009	10567	6355	4775	7510	1865	16853	2608	3479	4589	6783	4215	2646	6997	5615	2981	4611	3096	5357	8363	1455	5285	3951	4526	4261	5784	2843	12737	22982	478	1638	869	1395	9079	628	2824	13574	15319	8625	11235	779	1489	2364	6695	20321	2252	7630	4852	9328	21690	31029	5833	7488	2090	8725	980	5778	12342	21725	33864	10934	16303	19511	17575	11278	18659	6760	11246	3704	12817	5325	24271	12316	8360	4499
acs	308508	347597	360429	295618	298153	306884	399370	327863	377903	297488	224341	304249	316763	313083	353262	278948	230307	300790	329031	328622	202255	287357	221019	213975	207229	265050	260819	208120	236493	461610	408619	532550	220935	151383	305957	358533	238683	326742	144426	236124	286525	329131	262930	310080	258833	250211	288639	185172	199072	192850	142891	405140	403568	361831	284764	284751	289203	241702	245633	242159	258238	348182	364332	221307	310451	238581	313908	241829	348013	238307	428750	341359	249496	410834	371134	466711	461656	278464	385821	335163	725182	343963	338811	305087	480783	454340	280914	433504	325071	288504	436170	446163	444675	521038	527871	445078	475011	394155	154170	469923	493945	458002	254931	412173	296761	518100	395411	399091	416986	504180	156514	204683	487107	412451	553567	316222	425889	283767	171238	366319	363867	419237	437049	273262	326458	513923	335074	370855	402373	562922	499900	568823	450205	446758	237035	340262	348633	375346	390292	466931	471950	298682	320195	425226	545675	543127	513777	434780	602283	247191	353669	330354	517397	433084	380768	357867
acsB	0	139	0	3	0	0	0	12	36	2	14	2	22	74	4	6	0	0	0	0	1	0	7	30	50	102	438	0	0	0	0	0	5	0	0	0	1	2	0	9	6	0	0	0	0	0	0	0	0	0	0	280	18	2483	2810	2793	2416	0	0	0	0	4	20	1065	1146	97	430	141	4	66	1	4	53	50	43	59	311	0	0	0	0	0	0	0	8	1474	2	0	1	0	6	32	35	2	76	93	6	40	0	25	35	10	596	7	0	202	177	89	22	767	0	1	0	0	0	0	0	56	11	1	43	0	0	4	9	101	0	1	882	460	1631	0	53	3	0	1053	0	0	9	0	0	0	0	0	1	7	8	12	0	1815	0	372	3	1	12	41
acsE	17374	34092	13080	19490	17212	22976	31898	9046	12581	12127	12238	12605	11253	7969	17579	16272	28351	15553	13249	6688	9865	25471	29667	22496	9841	12108	11479	18200	7252	3485	1971	2808	28706	15872	20879	24838	12944	18012	10425	11261	3513	1902	13033	2856	1978	1142	1275	15005	4026	15788	12463	23720	38863	36354	31718	31865	31616	20602	20910	11305	13483	11947	14304	13427	9303	19094	13534	32075	20380	7835	16389	14923	12691	20104	21365	18693	14168	23307	21337	13006	171637	11106	33105	19070	14638	7829	34959	1546	30016	21438	8145	6251	14378	12185	17530	16034	8178	8282	19183	10970	18502	11490	7652	13172	20060	6891	4195	17152	28443	45119	16590	7159	49520	36697	24944	26677	10294	21981	12569	15643	27176	12177	49781	24494	13322	5654	16905	20048	17902	14537	10372	11570	8000	12513	19141	11614	14370	13835	33048	17582	14122	18723	23020	25005	29446	11081	37946	14505	32040	11274	22186	21901	15902	15958	27370	32385
aprA	9596	12693	1511	1386	1329	2421	2212	10328	14625	15505	17741	3160	3960	13163	33735	48834	476	633	2355	3084	4795	4764	1737	1722	13615	15939	21098	1151	2616	1943	3675	374	8830	4765	1763	2057	1279	1775	20420	13799	2762	549	3343	890	1241	473	198	2484	1793	293	217	3090	5365	9705	2311	2548	2235	1692	1801	1809	1877	4540	7589	17486	63206	8542	109859	3474	5582	30383	4040	23842	40399	13808	15407	7501	10109	972	571	1562	536	587	1565	1126	2086	27019	4796	4226	2423	3140	3423	2587	12443	13011	10871	8707	3456	3241	984	5285	9816	3076	11649	699	939	42399	11425	12328	4328	18741	596	45515	322	442	2617	3465	1548	1901	744	433	457	173	227	3659	1889	2318	3455	2794	21358	35318	28154	1475	5963	5975	3202	74266	1573	814	5722	4565	838	8038	7584	3321	8228	2382	11773	5530	3590	124347	10405	46644	6454	936	1151	1130
aprB	6231	12944	2692	2578	2262	3781	3486	6481	13124	21714	18930	3996	3584	13184	33355	35314	712	1302	4425	4122	7357	7600	2849	2791	9597	11694	14940	1962	2881	755	1495	228	7579	5947	2768	3255	1724	2386	17034	7254	1860	481	3331	875	643	336	108	4186	1954	710	519	4298	6208	9640	3203	3294	3067	1801	1893	3158	3455	5040	5990	16648	25830	8740	32087	3944	5116	16914	3552	11472	16160	8781	8774	11190	12664	1938	838	5608	934	1868	4120	3343	2847	13237	4715	2332	3421	4633	3246	2002	8627	9125	10456	7463	3902	3438	1693	5575	9343	3555	7906	1771	1944	18819	6913	8795	6816	19624	882	24423	257	310	4916	4345	980	1254	1316	549	1049	382	332	4916	1993	1566	4193	2775	11752	15020	13488	3659	6053	5091	3833	30685	2580	2549	7420	3930	1657	6062	5935	4525	5136	3245	6202	4707	4664	35768	8406	24862	5404	3620	3829	5039
comA	14863	16341	13892	19903	14912	20778	21377	20594	31258	12312	10990	12688	11062	8071	7663	8815	24645	17822	14351	8506	10565	20607	13747	8022	8046	10228	9642	9320	6944	21239	19908	17766	9256	7053	10771	13404	8372	13239	7769	17766	21780	48661	14470	46285	23955	24307	37306	7195	20378	4199	2827	19795	16061	15610	16668	16598	16898	5715	7189	10953	8654	12007	10629	7315	8813	13373	15771	14784	17782	12677	14333	18463	13660	21874	16509	11856	11798	17141	18711	22693	20108	22271	20042	17942	17453	9957	14979	18637	14757	15349	26355	42470	25160	24330	15905	25262	30570	25848	7733	18093	15107	19867	16142	11571	12290	12305	9803	16569	13944	12860	7812	3356	16009	19980	20081	17324	20541	7838	5622	15846	17618	12410	30303	10599	12842	30776	15619	19289	16795	18944	13334	27828	11575	16821	11451	9700	13578	17240	24883	21851	30913	15837	16570	25454	18190	26673	18653	13580	23068	8851	18395	17393	24015	21403	19139	19015
comB	31561	36967	26633	42279	46016	48426	58990	35886	58090	25186	17666	28369	25237	19104	23982	18974	53915	44272	24417	14829	24300	58193	39718	40941	19117	24848	22935	25072	16703	64363	73029	49380	18145	13350	37115	44249	21873	31674	12671	27457	33935	58208	27381	58277	35111	33632	46586	15811	31982	26012	17756	76289	53321	49972	42209	42644	42432	21065	20614	29245	25522	30961	30471	15029	17039	29273	28330	34536	42892	25596	38741	37591	24908	40647	39448	41883	41556	35980	35944	60096	32632	51046	52632	37122	36912	19848	36171	33816	51985	43345	45582	66670	49066	48853	42147	47893	46745	42619	21302	33224	39003	44810	27447	29130	25799	21443	14325	37509	37284	37636	11663	4610	37754	40826	59984	35877	56882	31031	15734	57243	41938	30845	32875	30320	26591	40372	35962	48509	36338	33469	26099	36120	15964	33640	23074	20091	27772	36267	43487	43639	33620	34678	42206	46365	40877	59364	44264	31425	59696	15366	40896	31259	48899	36534	54896	58443
comD	13565	19453	10406	11093	10221	14244	23787	8589	16829	9310	7877	7923	8301	10011	13981	10845	6943	7356	11381	10664	5824	15415	5257	3548	5776	7510	7441	3692	3190	7334	4826	7836	8002	3877	9498	11178	5769	7661	4527	5357	6702	3262	8515	2335	6372	6334	4827	5961	10938	4385	3394	19629	22140	21442	13303	12930	14024	6852	5495	2654	3303	6813	6546	9399	5775	13290	12835	10377	16196	6830	15576	11733	10129	13101	13063	28770	28602	15052	8330	11715	4053	20028	23697	25069	11767	7926	10762	9263	16401	15873	10605	6687	15213	19195	19190	14895	15975	10862	3548	12047	17255	19940	6343	6393	4658	7647	2637	14248	27268	38318	2705	17873	6814	6851	13235	9775	7823	3744	5881	7954	10884	5681	8010	13641	4750	2390	12283	15897	15780	16567	9873	55065	15833	12932	10340	15093	10472	11463	19324	13200	14557	15007	16602	18315	10961	18778	11309	13978	13904	9167	16031	15805	15508	11186	23994	27132
comE	5481	2276	1725	3715	3198	5533	8280	274	623	991	1117	2173	2159	699	1929	1618	2671	3427	495	753	1841	2151	2405	1417	1510	1912	1722	1329	774	202	97	233	1064	1177	2405	2861	1964	2656	1397	1401	1712	514	623	192	582	484	2361	1623	431	1951	1538	8759	9134	9424	6732	6838	7011	2855	2284	725	1011	827	558	1124	391	2809	317	2474	1866	1380	1947	1483	854	1464	1675	10152	11284	7198	3041	3961	1468	7453	9203	8071	1243	2316	2062	179	3451	1232	1069	458	1180	1107	1115	963	642	639	1134	1004	1071	981	639	1595	1698	1541	1119	2249	8084	12927	1212	7077	957	1068	3192	3221	1471	1589	2209	1496	4083	1974	2629	2913	974	256	2798	4086	1533	5155	2213	22485	7189	4980	2904	2918	1733	2656	8742	4867	5401	7174	6646	7130	4259	5439	1704	4439	3010	209	5231	1385	6141	2596	7100	10244
cooS, acsA	7	819	0	20	4	0	0	90	223	26	89	0	63	95	30	40	0	0	3	2	0	0	69	267	357	545	3289	0	9	0	5	11	26	65	0	0	3	16	8	5	70	2	3	23	0	0	0	0	0	0	0	1875	144	13581	12223	12409	10622	0	10	0	0	37	102	2908	8234	416	3983	468	198	318	63	62	556	322	403	140	629	0	65	3	5	14	34	7	75	7870	110	60	17	37	756	378	206	82	417	429	32	144	0	155	369	35	2394	23	0	599	436	267	105	2441	0	14	23	0	5	1	0	598	2382	52	449	0	8	16	220	1096	0	10	6857	1972	8347	0	197	38	49	8031	0	0	149	49	9	0	0	24	55	10	429	105	37	9937	0	2672	0	15	52	131
coxL, cutL	433034	538013	404597	369800	320301	416216	548297	249505	324251	543221	392703	420343	450096	407693	461584	370551	306982	370618	377227	340977	229686	391372	318730	252107	272502	346898	330045	243377	226913	554976	437956	671348	244173	178796	460157	525573	362551	479734	144913	231007	302339	349768	285480	324040	284484	280842	301443	195875	233362	217893	167318	452614	449236	387619	266938	262863	275618	294284	286982	257552	321662	338265	344248	371940	488695	355503	382315	295763	482062	270140	494442	372735	293815	467986	426593	607519	599125	459898	400890	415548	400377	549907	587898	500918	503204	365610	398285	460284	424596	321610	468806	456140	503562	573188	632835	469234	476578	393562	234257	460472	553657	509927	270368	380678	244974	560295	401339	510980	736119	757670	196823	457407	545246	458653	772091	525780	531518	389368	212729	460711	517023	436078	576955	389100	361356	586128	437358	534933	472661	729969	833060	820201	576346	634613	386147	482399	394230	444060	515853	670795	637642	431879	507894	595506	727424	810153	508986	639493	793044	313368	583559	443544	730655	577076	544536	495290
coxM, cutM	293729	368499	320252	270341	225385	298149	414574	175030	226164	356755	253893	270402	291661	235271	343152	256624	232858	243537	273783	240913	158771	288467	239364	181634	182870	234047	221394	171838	156003	346619	300475	389098	160632	110049	291473	334734	228403	304426	91450	141603	181980	196417	178632	186560	162423	158716	173848	127724	149401	147171	111883	305554	283207	244096	167528	168562	173447	202703	195447	183160	220943	239289	238608	229116	232751	249516	262899	221893	343178	182899	359432	268373	199503	343514	309539	386906	386497	330082	281727	318396	258037	380246	383575	343649	380329	238817	284244	342727	308228	245850	348777	395344	355179	401386	452165	347794	338361	283505	155784	341914	413372	406125	183187	301985	193436	417191	285286	380681	484922	485055	150992	252755	347719	316859	544737	358696	345461	260081	129208	326013	323142	352393	393897	286888	239420	438587	313001	369341	330228	480410	496553	448603	325599	446573	266803	315345	312275	344453	341197	461900	405210	293867	347537	404466	500932	553884	348365	438607	559762	206182	393941	312232	474792	434112	392430	373180
coxS	163319	212606	163530	149292	127093	165180	237110	90873	124905	195640	141040	154650	161188	131739	194685	147615	116150	132999	137184	125471	78723	167717	123345	96447	101457	130761	122890	87725	80622	178719	148129	212999	90636	63304	179630	205743	131508	174775	56637	75705	93068	94437	104046	88867	84839	83616	88128	73342	77514	75555	56977	169953	169907	152905	117675	118209	121097	105506	102052	103527	129619	131159	132082	131114	122196	141644	148474	124609	188791	96889	193369	142696	113525	178354	172874	240132	232338	206390	151813	181165	128859	215234	248294	204662	208066	137608	156763	146795	186588	148346	171062	166658	187023	210143	257465	196580	176696	146667	96207	183786	231639	217734	98221	157913	104850	217941	145013	197190	279870	288541	86869	141735	157055	149519	282433	225178	181643	152857	78588	172449	154631	138927	161000	153396	116132	166622	171345	206521	175536	261735	315196	264905	180790	244402	152956	171617	159392	173063	204137	241657	220557	169140	201852	220969	265592	297761	184369	236986	285921	109143	225943	166346	261546	221798	229181	229544
cysD	148075	138123	172942	140700	139917	140683	173795	161150	144185	145828	104443	155173	156233	128525	146368	111333	111123	153460	148375	134176	91788	150723	112695	77782	94444	120796	113269	94312	104416	173879	157436	198893	108618	65589	154560	183570	120926	166633	58466	105676	122263	128595	118824	118643	119857	115148	133906	80981	95877	101125	68827	166046	161355	138837	112869	113847	114293	108465	114046	138626	150479	168505	179978	88842	101751	104196	106332	120174	171737	100566	224321	156336	104905	192545	172538	164224	161510	88493	156338	160872	257770	164581	123044	125837	215403	203025	133286	171396	146375	155904	171768	160202	181339	201361	199867	175757	202204	171173	89795	196463	193444	203753	120427	186408	155308	206514	181172	168021	183121	191416	88573	81752	171369	168007	252293	145435	195805	155995	81153	190757	180023	167566	191104	115122	145550	254765	157913	191953	164458	235503	228692	160027	136290	186335	99789	116600	166964	188773	182863	211219	235737	143999	147167	210169	233140	260616	225826	193991	267264	75171	139102	117131	228739	208184	173925	158616
cysN	122230	130517	156004	126514	120908	131424	164884	146110	119885	122568	90975	146219	153152	115815	122004	101433	96783	134279	142902	140935	86650	118992	106630	85810	86718	110666	100622	88042	99759	187656	154566	226497	100867	61872	151375	177191	118859	163699	54551	100672	118562	134797	116269	125347	116125	111251	141785	73048	82106	78826	52602	159373	159184	132738	102058	102827	104941	89911	95981	107628	120996	138458	150430	79649	98753	97379	93601	105447	138029	80669	188639	137690	94449	168534	144367	167149	157495	77746	128876	130070	159760	147396	119489	114054	200387	176563	118549	157697	135185	110197	166297	169304	153471	171522	187726	162926	185404	157862	68831	185928	178740	180465	103371	168657	133217	213675	172166	165997	192123	202877	75012	56889	124902	114698	216884	138384	156002	130233	67061	160816	148119	138786	167052	109522	135113	241300	145809	175819	140919	236282	245015	163875	138585	189635	97273	122589	150395	170903	151643	194448	223633	113779	120499	177974	202539	235988	182798	199494	231245	76383	145113	105646	208867	192334	153363	131404
dsrA	7955	16675	2443	5612	4499	6030	8519	9140	17031	35574	24417	2769	3125	17073	46433	43801	1355	1865	6591	4284	3610	6889	3385	3187	9953	12027	15391	381	1256	959	2015	292	5119	2022	2391	2972	2000	2655	12325	7411	2031	395	2362	372	493	204	75	519	291	266	165	3025	5116	9687	3663	4100	3738	760	929	2344	2685	5309	6828	24772	27638	7758	35711	3547	6151	17449	4993	13184	16486	13589	13050	11432	16379	393	972	7790	2950	493	2362	697	7609	18555	4643	2933	3550	7590	4371	2278	11338	11520	16758	11538	6944	5494	673	10268	17600	5174	10580	2095	1602	18198	5537	13560	9616	23933	295	43588	1272	1633	10534	2625	3482	9293	3137	1279	1099	959	291	3182	1943	1822	4556	4272	14023	28953	24492	5449	10774	6452	2895	42525	2709	1926	3323	5223	791	6892	3684	3234	9453	6459	10658	7616	10612	43556	11458	28488	6597	3147	3693	3947
